occurrence_no,pres_mode,preservation_quality,common_body_parts,abund_value,abund_unit,class,order,family,genus,taxon_environment,life_habit,diet,museum,collection_no,early_interval,late_interval,time_bins,age_max,age_min,age_median,age_uncer_range,lng,lat,occurrence_comments,cc,state,county,formation,stratgroup,member,zone,accepted_name,accepted_attr,accepted_rank,accepted_no,identified_name,identified_rank,identified_no,difference,ref_author,ref_pubyr,reference_no,collection_name,collection_subset,collection_aka,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,cc.1,protected,stratscale,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,environment,tectonic_setting,assembl_comps,articulated_parts,associated_parts,rare_body_parts,feed_pred_traces,spatial_resolution,preservation_comments,collection_type,collection_methods,collectors,collection_dates,collection_comments,taxonomy_comments,composition,species,municipality,outcrop_details,outcrop_overview,source,ref
N9,,,small mandibular fragment,,,Amphibia,Temnospondyli,Chigutisauridae,Compsocerops,,,,ULBRA-PVT-,60,Norian,,Norian,227.0,208.5,217.75,18.5,-53.43,-29.66,ULBRA-PVT-060,BR,RS,Buriol,Santa Maria,Ros rio do Sul,Alemoa,Hyperodapedon,,,,,,,,,,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cosgriffi,S?o Jo?o do Polsine,Buriol,Buriol,Literature,Dias?da?Silva
N8,,,"dermal fragment that comprises most of the orbital series (jugal, postorbital, postfrontal and frontal, the latter being excluded from the orbital margin); ULBRA PVT 059b, a dermal fragment with three bones (tabular, postparietal and a partial supratemporal)",,,Amphibia,Temnospondyli,Chigutisauridae,Compsocerops,,,,ULBRA-PVT-,"059a,b",Norian,,Norian,227.0,208.5,217.75,18.5,-53.43,-29.66,"ULBRA-PVT-059a,b",BR,RS,Buriol,Santa Maria,Ros rio do Sul,Alemoa,Hyperodapedon,,,,,,,,,,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cosgriffi,S?o Jo?o do Polsine,Buriol,Buriol,Literature,Dias?da?Silva
N7,,,an almost complete left lower jaw,,,Amphibia,Temnospondyli,Rhinesuchidae,Rastosuchus,,,,UFRGS-PV-,0349-P,Wordian,,Wordian,266.9,264.3,265.6,2.6,-51.11,-24.0,UFRGS-PV-0349-P,BR,PR,Morro do Mulato,Rio do Rasto,Passa Dois,-,Provelosaurus,,,,,,,,,,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammeri,Ortigueira,t£nel ferrovi rio 12 - abertura sul,T£nel 12,Literature,Dias
N6,,,right portion of an intermediate mandibular fragment,,,Amphibia,Temnospondyli,Rhinesuchidae,Rastosuchus,,,,UFRGS-PV-,0357-P,Wordian,,Wordian,266.9,264.3,265.6,2.6,-51.11,-24.0,UFRGS-PV-0357-P,BR,PR,Morro do Mulato,Rio do Rasto,Passa Dois,-,Provelosaurus,,,,,,,,,,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammeri,Ortigueira,t£nel ferrovi rio 12 - abertura sul,T£nel 12,Literature,Dias
N5,,,"clavicle, cleithrum, scapulocoracoid, femur, disarticulated autopodial elements, disarticulated vertebral elements, fragmentary ribs and other unprepared postcranial elements.",,,Amphibia,Temnospondyli,Rhinesuchidae,Rastosuchus,,,,UFRGS-PV-,0356-P,Wordian,,Wordian,266.9,264.3,265.6,2.6,-51.11,-24.0,UFRGS-PV-0356-P,BR,PR,Morro do Mulato,Rio do Rasto,Passa Dois,-,Provelosaurus,,,,,,,,,,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammeri,Ortigueira,t£nel ferrovi rio 12 - abertura sul,T£nel 12,Literature,Dias
N4,,,an almost complete skull and jaw,,,Amphibia,Temnospondyli,Rhinesuchidae,Rastosuchus,,,,UFRGS-PV-,0352-P,Wordian,,Wordian,266.9,264.3,265.6,2.6,-51.11,-24.0,UFRGS-PV-0352-P,BR,PR,Morro do Mulato,Rio do Rasto,Passa Dois,-,Provelosaurus,,,,,,,,,,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammeri,Ortigueira,t£nel ferrovi rio 12 - abertura sul,T£nel 12,Literature,Dias
N3,,,mandibula direita. left and right mandibular rami. Right lower jaw almost complete lacking the symphysial area and the posterior portion of the left lower jaw,,,Amphibia,Temnospondyli,Rhinesuchidae,Rastosuchus,,,,UFRGS-PV-,0350-P (Holotype),Wordian,,Wordian,266.9,264.3,265.6,2.6,-51.11,-24.0,UFRGS-PV-0350-P (Holotype),BR,PR,Morro do Mulato,Rio do Rasto,Passa Dois,-,Provelosaurus,,,,,,,,,,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammeri,Ortigueira,t£nel ferrovi rio 12 - abertura sul,T£nel 12,Literature,Dias
N2,,,an anterior mandibular fragment including the symphysial area,,,Amphibia,Temnospondyli,Rhinesuchidae,Rastosuchus,,,,UFRGS-PV-,0235-P,Wordian,,Wordian,266.9,264.3,265.6,2.6,-51.11,-24.0,UFRGS-PV-0235-P,BR,PR,Morro do Mulato,Rio do Rasto,Passa Dois,-,Provelosaurus,,,,,,,,,,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammeri,Ortigueira,t£nel ferrovi rio 12 - abertura sul,T£nel 12,Literature,Dias
N14,,,Tomeia witecki,,,Amphibia,Temnospondyli,Capitosauroidea,Tomeia,,,,UNIPAMPA,746,Olenekian,,Olenekian,251.2,247.2,249.2,4.0,-55.05,-29.62,UNIPAMPA0746,BR,RS,Toroqu ,Sanga do Cabral,Ros rio do Sul,-,Procolophon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,witecki,S?o Francisco de Assis,Bica S?o Tom,Bica S?o Tom,Museum,
N13,,,Crnio Temnospondyli,,,Amphibia,Temnospondyli,-,Kwatisuchus,,,,UNIPAMPA,765,Olenekian,,Olenekian,251.2,247.2,249.2,4.0,-55.04,-30.17,UNIPAMPA0765,BR,RS,-,Sanga do Cabral,Ros rio do Sul,-,Procolophon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rosae,Ros rio do Sul,Granja Palmeira,Granja Palmeiras,Museum,
