id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range
1,557171,557171,1.353064,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
2,812265,812265,3.836582,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3,837001,837001,1.353064,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
4,837005,837005,3.84681,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
5,837007,837007,1.353064,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
6,837008,837008,1.353064,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
7,837009,837009,1.353064,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
8,837011,837011,1.353064,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
9,837012,837012,1.353064,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
10,837089,837089,1.353064,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
11,837171,837171,1.353064,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
12,837226,837226,1.353064,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
13,837372,837372,1.353064,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
14,837398,837398,1.353064,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
15,843204,843204,1.357201,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
16,843218,843218,1.357201,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
17,1578941,1578941,1.353064,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
18,1579640,1579640,3.836582,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
19,1581452,1581452,1.353064,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
20,1589319,1589319,1.357201,Vancleavea,227.0,208.5,Late Triassic,"(227.0, 208.5)"
21,1418484,1418484,1.063348,Vancleavea,237.0,227.0,Late Triassic,"(237.0, 227.0)"
22,521673,521673,8.831093,Vancleavea,208.5,201.4,Late Triassic,"(208.5, 201.4)"
23,521673,521673,8.831093,Vancleavea,208.5,201.4,Late Triassic,"(208.5, 201.4)"
24,521673,521673,8.831093,Vancleavea,208.5,201.4,Late Triassic,"(208.5, 201.4)"
