Time	208-217	217-227	227-237	237-242	242-246.7	246.7-252	252-259.5	259.5-264.3	264.3-274.4	274.4-283.5	283.5-290.1
208.0	1	0	0	0	0	0	0	0	0	0	0
208.1	1	0	0	0	0	0	0	0	0	0	0
208.2	1	0	0	0	0	0	0	0	0	0	0
208.3	1	0	0	0	0	0	0	0	0	0	0
208.4	1	0	0	0	0	0	0	0	0	0	0
208.5	1	0	0	0	0	0	0	0	0	0	0
208.6	1	0	0	0	0	0	0	0	0	0	0
208.7	1	0	0	0	0	0	0	0	0	0	0
208.8	1	0	0	0	0	0	0	0	0	0	0
208.9	1	0	0	0	0	0	0	0	0	0	0
209.0	1	0	0	0	0	0	0	0	0	0	0
209.1	1	0	0	0	0	0	0	0	0	0	0
209.2	1	0	0	0	0	0	0	0	0	0	0
209.3	1	0	0	0	0	0	0	0	0	0	0
209.4	1	0	0	0	0	0	0	0	0	0	0
209.5	1	0	0	0	0	0	0	0	0	0	0
209.6	1	0	0	0	0	0	0	0	0	0	0
209.7	1	0	0	0	0	0	0	0	0	0	0
209.8	1	0	0	0	0	0	0	0	0	0	0
209.9	1	0	0	0	0	0	0	0	0	0	0
210.0	1	0	0	0	0	0	0	0	0	0	0
210.1	1	0	0	0	0	0	0	0	0	0	0
210.2	1	0	0	0	0	0	0	0	0	0	0
210.3	1	0	0	0	0	0	0	0	0	0	0
210.4	1	0	0	0	0	0	0	0	0	0	0
210.5	1	0	0	0	0	0	0	0	0	0	0
210.6	1	0	0	0	0	0	0	0	0	0	0
210.7	1	0	0	0	0	0	0	0	0	0	0
210.8	1	0	0	0	0	0	0	0	0	0	0
210.9	1	0	0	0	0	0	0	0	0	0	0
211.0	1	0	0	0	0	0	0	0	0	0	0
211.1	1	0	0	0	0	0	0	0	0	0	0
211.2	1	0	0	0	0	0	0	0	0	0	0
211.3	1	0	0	0	0	0	0	0	0	0	0
211.4	1	0	0	0	0	0	0	0	0	0	0
211.5	1	0	0	0	0	0	0	0	0	0	0
211.6	1	0	0	0	0	0	0	0	0	0	0
211.7	1	0	0	0	0	0	0	0	0	0	0
211.8	1	0	0	0	0	0	0	0	0	0	0
211.9	1	0	0	0	0	0	0	0	0	0	0
212.0	1	0	0	0	0	0	0	0	0	0	0
212.1	1	0	0	0	0	0	0	0	0	0	0
212.2	1	0	0	0	0	0	0	0	0	0	0
212.3	1	0	0	0	0	0	0	0	0	0	0
212.4	1	0	0	0	0	0	0	0	0	0	0
212.5	1	0	0	0	0	0	0	0	0	0	0
212.6	1	0	0	0	0	0	0	0	0	0	0
212.7	1	0	0	0	0	0	0	0	0	0	0
212.8	1	0	0	0	0	0	0	0	0	0	0
212.9	1	0	0	0	0	0	0	0	0	0	0
213.0	1	0	0	0	0	0	0	0	0	0	0
213.1	1	0	0	0	0	0	0	0	0	0	0
213.2	1	0	0	0	0	0	0	0	0	0	0
213.3	1	0	0	0	0	0	0	0	0	0	0
213.4	1	0	0	0	0	0	0	0	0	0	0
213.5	1	0	0	0	0	0	0	0	0	0	0
213.6	1	0	0	0	0	0	0	0	0	0	0
213.7	1	0	0	0	0	0	0	0	0	0	0
213.8	1	0	0	0	0	0	0	0	0	0	0
213.9	1	0	0	0	0	0	0	0	0	0	0
214.0	1	0	0	0	0	0	0	0	0	0	0
214.1	1	0	0	0	0	0	0	0	0	0	0
214.2	1	0	0	0	0	0	0	0	0	0	0
214.3	1	0	0	0	0	0	0	0	0	0	0
214.4	1	0	0	0	0	0	0	0	0	0	0
214.5	1	0	0	0	0	0	0	0	0	0	0
214.6	1	0	0	0	0	0	0	0	0	0	0
214.7	1	0	0	0	0	0	0	0	0	0	0
214.8	1	0	0	0	0	0	0	0	0	0	0
214.9	1	0	0	0	0	0	0	0	0	0	0
215.0	1	0	0	0	0	0	0	0	0	0	0
215.1	1	0	0	0	0	0	0	0	0	0	0
215.2	1	0	0	0	0	0	0	0	0	0	0
215.3	1	0	0	0	0	0	0	0	0	0	0
215.4	1	0	0	0	0	0	0	0	0	0	0
215.5	1	0	0	0	0	0	0	0	0	0	0
215.6	1	0	0	0	0	0	0	0	0	0	0
215.7	1	0	0	0	0	0	0	0	0	0	0
215.8	1	0	0	0	0	0	0	0	0	0	0
215.9	1	0	0	0	0	0	0	0	0	0	0
216.0	1	0	0	0	0	0	0	0	0	0	0
