index,occurrence_no_x,locality,county_original,state,cc,notes,id,genus,age_max,age_min
70,220087,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4341,Liliensternus,208.5,201.4
71,220088,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4340,Elachistosuchus,208.5,201.4
72,221283,Texas,Baylor,Texas,US,,4338,Captorhinus,283.5,273.01
73,221283,Texas,Baylor,Texas,US,,4339,Captorhinus,283.5,273.01
74,256434,San Juan,,San Juan,AR,,4336,Eoraptor,237,227
75,256434,San Juan,,San Juan,AR,,4337,Eoraptor,237,227
76,256435,San Juan,,San Juan,AR,,4335,Herrerasaurus,237,227
77,256436,San Juan,,San Juan,AR,,4334,Saurosuchus,237,227
78,256437,San Juan,,San Juan,AR,,4333,Aetosauroides,237,227
79,256441,San Juan,,San Juan,AR,,4332,Herrerasaurus,237,227
80,261808,England,Gloucestershire,England,UK,,4331,Terrestrisuchus,237,227
81,261810,England,Gloucestershire,England,UK,,4330,Agnosphitys,237,227
82,272321,La Rioja,,La Rioja,AR,,4329,Luperosuchus,242,237
83,272322,La Rioja,,La Rioja,AR,,4328,Lagerpeton,242,237
84,272323,La Rioja,,La Rioja,AR,,4327,Chanaresuchus,242,237
85,272324,La Rioja,,La Rioja,AR,,4326,Gualosuchus,242,237
86,272325,La Rioja,,La Rioja,AR,,4325,Gracilisuchus,242,237
87,272327,La Rioja,,La Rioja,AR,,4324,Marasuchus,242,237
88,272328,La Rioja,,La Rioja,AR,,4323,Lewisuchus,242,237
89,272329,La Rioja,,La Rioja,AR,,4322,Tropidosuchus,242,237
90,272330,La Rioja,,La Rioja,AR,,4321,Tarjadia,242,237
91,277109,La Rioja,General Lavalle,La Rioja,AR,,4320,Pisanosaurus,237,227
92,279623,Western Cape,Beaufort West,Western Cape,ZA,,4319,Bradysaurus,264.28,259.51
93,283819,East Greenland,,East Greenland,GL,,4318,Arcticodactylus,227,208.5
99,284027,Wales,Swansea,Wales,UK,,4312,Pantydraco,237,227
100,285740,Nei Mongol,Zhuengeerqi,Nei Mongol,CN,,4311,Eumetabolodon,251.2,242
101,285752,Shaanxi,Fugu,Shaanxi,CN,,4310,Eumetabolodon,251.2,242
102,285753,Nei Mongol,,Nei Mongol,CN,,4309,Youngetta,251.902,247.2
103,286782,Bashkortostan,Belebei,Bashkortostan,RU,,4308,Belebey,266.9,264.28
104,287287,Oklahoma,Blaine,Oklahoma,US,,4307,Rothianiscus,273.01,264.28
105,287715,Oklahoma,Blaine,Oklahoma,US,,4304,Rothianiscus,273.01,264.28
106,287715,Oklahoma,Blaine,Oklahoma,US,,4305,Rothianiscus,273.01,264.28
107,287715,Oklahoma,Blaine,Oklahoma,US,,4306,Rothianiscus,273.01,264.28
108,287747,Oklahoma,Blaine,Oklahoma,US,,4303,Rothianiscus,273.01,264.28
109,287764,Oklahoma,Blaine,Oklahoma,US,,4302,Rothianiscus,273.01,264.28
110,287827,Oklahoma,Kingfisher,Oklahoma,US,,4301,Rothianiscus,273.01,264.28
111,287904,Oklahoma,Kingfisher,Oklahoma,US,,4300,Rothianiscus,273.01,264.28
112,287929,Oklahoma,Canadian,Oklahoma,US,,4299,Rothianiscus,273.01,264.28
113,289331,Oklahoma,Kingfisher,Oklahoma,US,,4298,Rothianiscus,273.01,264.28
114,289337,Oklahoma,Kingfisher,Oklahoma,US,,4297,Rothianiscus,273.01,264.28
115,290383,Texas,Knox,Texas,US,,4296,Captorhinoides,283.5,273.01
116,295924,Texas,Wichita,Texas,US,,4289,Bolosaurus,290.1,283.5
117,295924,Texas,Wichita,Texas,US,,4290,Bolosaurus,290.1,283.5
118,295924,Texas,Wichita,Texas,US,,4291,Bolosaurus,290.1,283.5
119,295924,Texas,Wichita,Texas,US,,4292,Bolosaurus,290.1,283.5
120,295924,Texas,Wichita,Texas,US,,4293,Bolosaurus,290.1,283.5
121,295924,Texas,Wichita,Texas,US,,4294,Bolosaurus,290.1,283.5
122,295924,Texas,Wichita,Texas,US,,4295,Bolosaurus,290.1,283.5
123,295925,Texas,Wichita,Texas,US,,4288,Bolosaurus,290.1,283.5
124,295928,Texas,Archer,Texas,US,,4287,Bolosaurus,290.1,283.5
125,296008,Texas,Baylor/Wilbarger,Texas,US,,4286,Labidosaurus,283.5,273.01
126,296038,Texas,Baylor/Willbarger,Texas,US,,4285,Captorhinus,283.5,273.01
127,296039,Texas,Baylor/Willbarger,Texas,US,,4284,Captorhinus,283.5,273.01
128,296040,Texas,Baylor/Willbarger,Texas,US,,4283,Captorhinus,283.5,273.01
129,296041,Texas,Baylor/Willbarger,Texas,US,,4281,Captorhinus,283.5,273.01
130,296041,Texas,Baylor/Willbarger,Texas,US,,4282,Captorhinus,283.5,273.01
131,296042,Texas,Baylor/Willbarger,Texas,US,,4280,Labidosaurus,283.5,273.01
132,296043,Texas,Baylor/Willbarger,Texas,US,,4279,Labidosaurus,283.5,273.01
133,296060,Texas,Baylor,Texas,US,,4278,Captorhinus,283.5,273.01
134,296063,Texas,Baylor,Texas,US,,4277,Captorhinus,283.5,273.01
135,296064,Texas,Baylor,Texas,US,,4276,Labidosaurus,283.5,273.01
136,296073,Texas,Baylor,Texas,US,,4275,Captorhinus,283.5,273.01
137,296074,Texas,Baylor,Texas,US,,4274,Labidosaurus,283.5,273.01
138,296099,Texas,Baylor,Texas,US,,4273,Bolosaurus,283.5,273.01
139,296100,Texas,Baylor,Texas,US,,4268,Araeoscelis,283.5,273.01
140,296100,Texas,Baylor,Texas,US,,4269,Araeoscelis,283.5,273.01
141,296100,Texas,Baylor,Texas,US,,4270,Araeoscelis,283.5,273.01
142,296100,Texas,Baylor,Texas,US,,4271,Araeoscelis,283.5,273.01
143,296100,Texas,Baylor,Texas,US,,4272,Araeoscelis,283.5,273.01
144,296107,Texas,Baylor,Texas,US,,4267,Captorhinus,283.5,273.01
145,296108,Texas,Baylor,Texas,US,,4266,Labidosaurus,283.5,273.01
146,296109,Texas,Baylor,Texas,US,,4265,Labidosaurus,283.5,273.01
147,296117,Texas,Baylor,Texas,US,,4264,Captorhinus,283.5,273.01
148,297328,Namibia,,Erongo,Namibia,,4263,Mesosaurus,290.1,283.5
149,297329,Namibia,,Erongo,Namibia,,4262,Mesosaurus,290.1,283.5
150,297330,Namibia,,Erongo,Namibia,,4261,Mesosaurus,290.1,283.5
151,297331,Namibia,,Erongo,Namibia,,4260,Mesosaurus,290.1,283.5
152,297867,Queensland,,Queensland,AU,,4259,Grallator,227,208.5
153,299715,Kirov,Kotelnich,Kirov,RU,,4258,Deltavjatia,264.28,259.51
154,299716,Tatarstan,Tetyushi,Tatarstan,RU,,4257,Scutosaurus,264.28,254.14
155,337694,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,,4256,Neusticosaurus,247.2,237
156,337705,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,,4255,Cymatosaurus,247.2,237
157,337723,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,,4254,Termatosaurus,208.5,201.4
158,337737,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,,4253,Ichthyosaurus,208.5,201.4
159,337745,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,,4252,Termatosaurus,208.5,201.4
160,337746,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,,4251,Ichthyosaurus,208.5,201.4
161,346294,Texas,Archer,Texas,US,,4250,Bolosaurus,298.9,290.1
162,360364,La Rioja,,La Rioja,AR,,4249,Zupaysaurus,227,208.5
163,361674,Nevada,Pershing,Nevada,US,,4247,Omphalosaurus,247.2,237
164,361674,Nevada,Pershing,Nevada,US,,4248,Omphalosaurus,247.2,237
165,363117,Svalbard,,Svalbard,NO,,4246,Grippia,251.2,247.2
166,363120,Franken,,Franken,DE,,4245,Coelurosaurichnus,237,227
167,367506,Pennsylvania,Montgomery,Pennsylvania,US,,4244,Rutiodon,227,208.5
168,367508,Texas,Baylor,Texas,US,,4243,Captorhinus,283.5,273.01
169,368043,Northern Cape,,Northern Cape,ZA,,4242,Pareiasuchus,259.51,254.14
170,368798,Arizona,Navajo,Arizona,US,,4241,Arizonasaurus,247.2,244.7
171,368799,Arizona,Navajo,Arizona,US,,4240,Anisodontosaurus,247.2,244.7
172,382568,Friuli-Venezia Giulia,Udine,Friuli-Venezia Giulia,IT,,4239,Placochelys,237,227
173,382582,Lombardia,,Lombardia,IT,,4236,Psephoderma,216.7,213.2
174,382582,Lombardia,,Lombardia,IT,,4237,Psephoderma,216.7,213.2
175,382582,Lombardia,,Lombardia,IT,,4238,Psephoderma,216.7,213.2
176,384378,Nizhegorod,Vetluga,Nizhegorod,RU,,4235,Vonhuenia,251.902,251.2
177,385301,Eastern Cape,Herschel,Eastern Cape,ZA,,4234,Melanorosaurus,227,208.5
178,385607,Eastern Cape,Herschel,Eastern Cape,ZA,,4230,Plateosauravus,227,208.5
179,385607,Eastern Cape,Herschel,Eastern Cape,ZA,,4231,Plateosauravus,227,208.5
180,385607,Eastern Cape,Herschel,Eastern Cape,ZA,,4232,Plateosauravus,227,208.5
181,385607,Eastern Cape,Herschel,Eastern Cape,ZA,,4233,Plateosauravus,227,208.5
182,387512,Komi,Luza/Pre-Luza,Komi,RU,,4229,Chasmatosuchus,251.2,247.2
183,387513,Orenburg,Belyaevka,Orenburg,RU,,4228,Chasmatosuchus,251.902,251.2
184,387517,Orenburg,Belyaevka,Orenburg,RU,,4227,Chasmatosuchus,251.902,247.2
185,387518,Orenburg,Sorochinsk,Orenburg,RU,,4226,Chasmatosuchus,251.902,247.2
186,388713,Anhui,Chao,Anhui,CN,,4225,Chaohusaurus,248.9,247.2
187,388714,Anhui,,Anhui,CN,,4224,Chaohusaurus,248.9,247.2
188,389769,Lombardia,,Lombardia,IT,,4223,Placochelys,237,227
189,389770,Lombardia,,Lombardia,IT,,4222,Psephoderma,208.5,201.4
190,389771,Lombardia,,Lombardia,IT,,4221,Psephoderma,208.5,201.4
191,389772,Lombardia,,Lombardia,IT,,4220,Paraplacodus,247.2,242
192,391980,Guizhou,,Guizhou,CN,,4219,Barracudasaurus,247.2,237
193,393085,England,Warwickshire,England,UK,,4218,Sarcosaurus,201.4,199.5
194,401595,Malopolskie,Krakowski,Malopolskie,PL,,4217,Czatkowiella,251.2,247.2
195,401596,Malopolskie,Krakowski,Malopolskie,PL,,4216,Sophineta,251.2,247.2
196,401597,Malopolskie,Krakowski,Malopolskie,PL,,4215,Osmolskina,251.2,247.2
197,401599,Malopolskie,Krakowski,Malopolskie,PL,,4214,Pamelina,251.2,247.2
198,401600,Malopolskie,Krakowski,Malopolskie,PL,,4213,Procolina,251.2,247.2
199,404182,Austria,,Niederosterreich,AT,,4212,Placochelys,227,208.5
200,406854,Virginia,Chesterfield,Virginia,US,,4211,Euscolosuchus,237,227
201,406855,Virginia,Chesterfield,Virginia,US,,4210,Uatchitodon,237,227
202,406858,Virginia,Chesterfield,Virginia,US,,4209,Gomphiosauridion,237,227
203,406859,Virginia,Chesterfield,Virginia,US,,4208,Xenodiphyodon,237,227
204,406864,Arizona,Apache,Arizona,US,,4207,Desmatosuchus,227,208.5
205,406867,Arizona,Apache,Arizona,US,,4206,Smilosuchus,227,208.5
206,406869,Arizona,Apache,Arizona,US,,4205,Postosuchus,227,208.5
207,406872,Arizona,Apache,Arizona,US,,4204,Camposaurus,227,208.5
208,406876,Arizona,Apache,Arizona,US,,4203,Calyptosuchus,227,208.5
209,407766,Arizona,Apache,Arizona,US,,4202,Tanytrachelos,227,208.5
210,407767,Arizona,Apache,Arizona,US,,4201,Smilosuchus,227,208.5
211,407768,Arizona,Apache,Arizona,US,,4200,Parasuchus,227,208.5
212,407776,Arizona,Apache,Arizona,US,,4199,Acaenasuchus,227,208.5
213,411325,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,4198,Cyamodus,247.2,237
214,411697,Komi,,Komi,RU,,4197,Timanophon,251.2,247.2
215,423245,Arizona,Apache,Arizona,US,,4196,Poposaurus,227,208.5
216,423280,Arizona,Apache,Arizona,US,,4195,Shuvosaurus,227,208.5
217,423281,Arizona,Apache,Arizona,US,,4194,Poposaurus,227,208.5
218,423285,Arizona,Apache,Arizona,US,,4193,Trilophosaurus,227,208.5
219,423286,Arizona,Apache,Arizona,US,,4192,Trilophosaurus,227,208.5
220,423288,Arizona,Apache,Arizona,US,,4191,Tanytrachelos,227,208.5
221,451787,Hessen,,Hessen,DE,,4190,Nothosaurus,247.2,242
222,460787,Texas,Randall,Texas,US,,4189,Parasuchus,237,227
223,461293,Rio Grande do Sul,,Rio Grande do Sul,BR,,4188,Unaysaurus,227,208.5
224,465571,Wales,Swansea,Wales,UK,,4187,Terrestrisuchus,237,227
225,465572,Wales,Swansea,Wales,UK,,4186,Kuehneosaurus,237,227
226,465573,Wales,Swansea,Wales,UK,,4185,Clevosaurus,237,227
227,465575,Wales,Glamorgan,Wales,UK,,4184,Tricuspisaurus,208.5,201.4
228,465579,Wales,Glamorgan,Wales,UK,,4183,Planocephalosaurus,208.5,201.4
229,465580,Wales,Glamorgan,Wales,UK,,4182,Haligonia,208.5,201.4
230,465685,England,Somerset,England,UK,,4181,Variodens,208.5,201.4
231,467069,Nevada,Pershing,Nevada,US,,4180,Cymbospondylus,247.2,237
232,467070,Nevada,Pershing,Nevada,US,,4179,Cymbospondylus,247.2,237
233,467071,Nevada,Pershing,Nevada,US,,4178,Cymbospondylus,247.2,237
234,467073,Nevada,Pershing,Nevada,US,,4177,Phalarodon,247.2,237
235,467312,Arizona,Coconino,Arizona,US,,4176,Protosuchus,208.5,199.5
236,468647,North Carolina,Chatham,North Carolina,US,,4175,Lucasuchus,237,227
237,471885,England,Avon,England,UK,,4174,Diphydontosaurus,237,227
238,472008,Yunnan,Lufeng,Yunnan,CN,,4173,Jingshanosaurus,201.4,199.5
239,474116,San Juan,,San Juan,AR,,4172,Herrerasaurus,237,227
240,474117,San Juan,,San Juan,AR,,4171,Hyperodapedon,237,227
241,474119,San Juan,,San Juan,AR,,4170,Hyperodapedon,237,227
242,475078,New Mexico,Rio Arriba,New Mexico,US,,4169,Machaeroprosopus,227,208.5
243,475079,New Mexico,Rio Arriba,New Mexico,US,,4168,Machaeroprosopus,227,208.5
244,475081,New Mexico,Rio Arriba,New Mexico,US,,4167,Typothorax,227,208.5
245,477082,Connecticut,New Haven,Connecticut,US,,4166,Coelophysis,201.4,199.5
246,479381,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,,4165,Teratosaurus,227,208.5
247,479548,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,4164,Efraasia,216.7,213.2
248,479551,Switzerland,Liestal,Basel-Landschaft,CH,,4162,Gresslyosaurus,213.2,208.5
249,479551,Switzerland,Liestal,Basel-Landschaft,CH,,4163,Gresslyosaurus,213.2,208.5
250,479563,Switzerland,,Schaffhausen,CH,,4161,Plateosaurus,227,208.5
251,483859,Arizona,Apache,Arizona,US,,4160,Typothorax,227,208.5
252,483867,New Mexico,Rio Arriba,New Mexico,US,,4159,Coelophysis,208.5,201.4
253,483868,New Mexico,Rio Arriba,New Mexico,US,,4158,Machaeroprosopus,208.5,201.4
254,483884,Texas,Crosby,Texas,US,,4157,Trilophosaurus,227,208.5
255,484408,Mashonaland Central,,Mashonaland Central,ZW,,4156,Hyperodapedon,237,227
256,484409,Mashonaland Central,,Mashonaland Central,ZW,,4155,Saturnalia,237,227
257,484673,New Mexico,Quay,New Mexico,US,,4154,Revueltosaurus,227,208.5
258,484986,Arizona,Apache,Arizona,US,,4152,Chindesaurus,227,208.5
259,484986,Arizona,Apache,Arizona,US,,4153,Chindesaurus,227,208.5
260,484987,Arizona,Apache,Arizona,US,,4151,Shuvosaurus,227,208.5
261,486103,Jura,Franche-Comte,Jura,FR,,4150,Plateosaurus,227,208.5
262,486104,Jura,Franche-Comte,Jura,FR,,4149,Plateosaurus,227,208.5
263,486128,Lorraine,Meuthe-et-Moselle,Lorraine,FR,,4148,Plateosaurus,208.5,201.4
264,486145,Jura,Franche-Comte,Jura,FR,,4147,Plateosaurus,227,208.5
265,486146,Jura,Franche-Comte,Jura,FR,,4146,Gresslyosaurus,227,208.5
266,486165,England,Somerset,England,UK,,4145,Camelotia,208.5,201.4
267,486188,Rio Grande do Sul,,Rio Grande do Sul,BR,,4144,Staurikosaurus,237,227
268,486189,Rio Grande do Sul,,Rio Grande do Sul,BR,,4143,Spondylosoma,242,237
269,486393,Bavaria,,Bavaria,DE,,4142,Plateosaurus,227,208.5
270,486395,Bavaria,,Bavaria,DE,,4141,Liliensternus,227,208.5
271,486398,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,4140,Zanclodon,242,237
272,486402,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,4139,Plateosaurus,208.5,201.4
273,486405,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,4138,Plateosaurus,227,208.5
274,486407,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,4136,Plateosaurus,208.5,201.4
275,486407,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,4137,Plateosaurus,208.5,201.4
276,486408,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,4135,Gresslyosaurus,227,208.5
277,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4110,Plateosaurus,208.5,201.4
278,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4111,Plateosaurus,208.5,201.4
279,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4112,Plateosaurus,208.5,201.4
280,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4113,Plateosaurus,208.5,201.4
281,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4114,Plateosaurus,208.5,201.4
282,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4115,Plateosaurus,208.5,201.4
283,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4116,Plateosaurus,208.5,201.4
284,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4117,Plateosaurus,208.5,201.4
285,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4118,Plateosaurus,208.5,201.4
286,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4119,Plateosaurus,208.5,201.4
287,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4120,Plateosaurus,208.5,201.4
288,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4121,Plateosaurus,208.5,201.4
289,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4122,Plateosaurus,208.5,201.4
290,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4123,Plateosaurus,208.5,201.4
291,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4124,Plateosaurus,208.5,201.4
292,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4125,Plateosaurus,208.5,201.4
293,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4126,Plateosaurus,208.5,201.4
294,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4127,Plateosaurus,208.5,201.4
295,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4128,Plateosaurus,208.5,201.4
296,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4129,Plateosaurus,208.5,201.4
297,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4130,Plateosaurus,208.5,201.4
298,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4131,Plateosaurus,208.5,201.4
299,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4132,Plateosaurus,208.5,201.4
300,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4133,Plateosaurus,208.5,201.4
301,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,4134,Plateosaurus,208.5,201.4
302,486412,Thuringia,,Thuringia,DE,,4108,Ruehleia,227,208.5
303,486412,Thuringia,,Thuringia,DE,,4109,Ruehleia,227,208.5
304,486413,Thuringia,,Thuringia,DE,,4106,Liliensternus,227,208.5
305,486413,Thuringia,,Thuringia,DE,,4107,Liliensternus,227,208.5
306,490747,New Mexico,Quay,New Mexico,US,,4105,Gojirasaurus,227,208.5
307,490749,New Mexico,Quay,New Mexico,US,,4104,Machaeroprosopus,227,208.5
308,490750,New Mexico,Quay,New Mexico,US,,4103,Rutiodon,227,208.5
309,490751,New Mexico,Quay,New Mexico,US,,4102,Rioarribasuchus,227,208.5
310,490752,New Mexico,Quay,New Mexico,US,,4101,Shuvosaurus,227,208.5
311,490754,New Mexico,Quay,New Mexico,US,,4100,Shuvosaurus,227,208.5
312,490757,Arizona,Apache,Arizona,US,,4099,Typothorax,227,208.5
313,490758,Arizona,Apache,Arizona,US,,4098,Hesperosuchus,227,208.5
314,490763,Arizona,Apache,Arizona,US,,4097,Machaeroprosopus,227,208.5
315,490769,Arizona,Apache,Arizona,US,,4096,Revueltosaurus,227,208.5
316,490781,Yunnan,Lufeng,Yunnan,CN,,4095,Lufengosaurus,201.4,199.5
317,490782,Yunnan,Lufeng,Yunnan,CN,,4094,Lufengosaurus,201.4,199.5
318,490785,Yunnan,Lufeng,Yunnan,CN,,4093,Lufengosaurus,201.4,199.5
319,490786,Yunnan,Lufeng,Yunnan,CN,,4092,Gyposaurus,201.4,199.5
320,490787,Yunnan,Lufeng,Yunnan,CN,,4091,Lufengosaurus,201.4,199.5
321,490788,Yunnan,Lufeng,Yunnan,CN,,4090,Lukousaurus,201.4,199.5
322,490789,Yunnan,Lufeng,Yunnan,CN,,4089,Sinosaurus,201.4,199.5
323,491743,Basse-Normandie,Manche,Basse-Normandie,FR,,4088,Lophostropheus,208.5,199.5
324,492832,Yunnan,Yungyin,Yunnan,CN,,4087,Chinshakiangosaurus,201.4,199.5
325,493537,Arizona,Navajo,Arizona,US,,4086,Ammorhynchus,247.2,244.7
326,493538,Arizona,Navajo,Arizona,US,,4085,Ammorhynchus,247.2,244.7
